
 frequency_dependence   1

 band_index    13    34
 sigma_matrix     0   0

 finite_difference_form   2
 finite_difference_spacing  1.000000

 symmetries
 ntran  = 12
 mtrx01 =  1  0  0  0  1  0  0  0  1
 mtrx02 = -1  1  0  0  1  0  0  0 -1
 mtrx03 =  0 -1  0  1 -1  0  0  0  1
 mtrx04 = -1  1  0 -1  0  0  0  0  1
 mtrx05 =  0 -1  0 -1  0  0  0  0 -1
 mtrx06 =  1  0  0  1 -1  0  0  0 -1
 mtrx07 =  1  0  0  0  1  0  0  0 -1
 mtrx08 = -1  1  0  0  1  0  0  0  1
 mtrx09 = -1  1  0 -1  0  0  0  0 -1
 mtrx10 =  0 -1  0  1 -1  0  0  0 -1
 mtrx11 =  1  0  0  1 -1  0  0  0  1
 mtrx12 =  0 -1  0 -1  0  0  0  0  1
 
       k =  0.000000  0.000000  0.000000 ik =   1 spin = 1

   n         Emf          Eo           X        SX-X          CH         Sig         Vxc        Eqp0        Eqp1         CH`        Sig`       Eqp0`       Eqp1`         Znk
  29   -3.065866   -3.065866  -10.866001    6.817498  -11.406977  -15.455479  -15.454565   -3.066780   -3.066604  -10.759612  -14.808115   -2.419415   -2.543475    0.808091
  30   -3.065866   -3.065866  -10.866001    6.817498  -11.406977  -15.455479  -15.454565   -3.066780   -3.066604  -10.759612  -14.808115   -2.419415   -2.543475    0.808091
  31   -2.871024   -2.871024  -10.929900    6.611285  -11.214303  -15.532918  -15.445856   -2.958086   -2.941039  -10.582448  -14.901063   -2.326231   -2.432903    0.804196
  32   -2.871024   -2.871024  -10.929900    6.611285  -11.214303  -15.532918  -15.445856   -2.958086   -2.941039  -10.582448  -14.901063   -2.326231   -2.432903    0.804196
  33   -2.868827   -2.868827  -10.942384    6.818632  -11.403131  -15.526883  -15.432088   -2.963622   -2.945089  -10.772733  -14.896485   -2.333224   -2.437935    0.804499
  34   -2.868827   -2.868827  -10.942384    6.818632  -11.403131  -15.526883  -15.432088   -2.963622   -2.945089  -10.772733  -14.896485   -2.333224   -2.437935    0.804499
 
       k =  0.000000  0.083333  0.000000 ik =   2 spin = 1

   n         Emf          Eo           X        SX-X          CH         Sig         Vxc        Eqp0        Eqp1         CH`        Sig`       Eqp0`       Eqp1`         Znk
  13  -11.445404  -11.445404  -17.113045   12.145323   -9.476883  -14.444605  -12.903649  -12.986360  -12.671333   -9.169309  -14.137031  -12.678786  -12.426639    0.795564
  14  -11.445404  -11.445404  -17.113045   12.145323   -9.476883  -14.444605  -12.903649  -12.986360  -12.671333   -9.169309  -14.137031  -12.678786  -12.426639    0.795564
  15   -8.747467   -8.747467  -17.635255   12.286110  -11.028079  -16.377224  -15.199253   -9.925438   -9.692891  -10.470765  -15.819911   -9.368124   -9.245598    0.802587
  16   -8.747467   -8.747467  -17.635255   12.286110  -11.028079  -16.377224  -15.199253   -9.925438   -9.692891  -10.470765  -15.819911   -9.368124   -9.245598    0.802587
  17   -8.402783   -8.402783  -17.688573   12.454960  -11.372202  -16.605815  -15.452640   -9.555958   -9.329407  -10.786813  -16.020426   -8.970569   -8.859023    0.803542
  18   -8.402783   -8.402783  -17.688573   12.454960  -11.372202  -16.605815  -15.452640   -9.555958   -9.329407  -10.786813  -16.020426   -8.970569   -8.859023    0.803542
  19   -8.199871   -8.199871  -16.417021   11.383399  -10.337442  -15.371064  -13.898827   -9.672109   -9.398472   -9.896204  -14.929826   -9.230870   -9.039244    0.814135
  20   -8.199871   -8.199871  -16.417021   11.383399  -10.337442  -15.371064  -13.898827   -9.672109   -9.398472   -9.896204  -14.929826   -9.230870   -9.039244    0.814135
  21   -7.555541   -7.555541  -17.319552   11.927752  -11.613505  -17.005305  -15.792329   -8.768517   -8.539533  -10.998604  -16.390404   -8.153616   -8.040712    0.811221
  22   -7.555541   -7.555541  -17.319552   11.927752  -11.613505  -17.005305  -15.792329   -8.768517   -8.539533  -10.998604  -16.390404   -8.153616   -8.040712    0.811221
  23   -7.081558   -7.081558  -16.137816   10.944638  -10.366876  -15.560054  -14.117354   -8.524259   -8.261416   -9.913836  -15.107014   -8.071219   -7.890914    0.817812
  24   -7.081558   -7.081558  -16.137816   10.944638  -10.366876  -15.560054  -14.117354   -8.524259   -8.261416   -9.913836  -15.107014   -8.071219   -7.890914    0.817812
  25   -6.003224   -6.003224  -15.966452   10.626970  -10.902756  -16.242239  -15.235726   -7.009737   -6.823266  -10.255026  -15.594509   -6.362006   -6.295537    0.814736
  26   -6.003224   -6.003224  -15.966452   10.626970  -10.902756  -16.242239  -15.235726   -7.009737   -6.823266  -10.255026  -15.594509   -6.362006   -6.295537    0.814736
  27   -3.249918   -3.249918  -10.875345    6.566935  -11.143310  -15.451719  -15.491537   -3.210101   -3.217705  -10.478182  -14.786591   -2.544973   -2.679599    0.809026
  28   -3.249918   -3.249918  -10.875345    6.566935  -11.143310  -15.451719  -15.491537   -3.210101   -3.217705  -10.478182  -14.786591   -2.544973   -2.679599    0.809026
  29   -3.154840   -3.154840  -10.721045    6.667732  -11.150881  -15.204195  -15.149646   -3.209388   -3.198863  -10.527428  -14.580741   -2.585935   -2.695709    0.807042
  30   -3.154840   -3.154840  -10.721045    6.667732  -11.150881  -15.204195  -15.149646   -3.209388   -3.198863  -10.527428  -14.580741   -2.585935   -2.695709    0.807042
  31   -2.995410   -2.995410  -11.009941    6.924738  -11.464853  -15.550056  -15.474405   -3.071060   -3.056302  -10.826776  -14.911980   -2.432984   -2.542702    0.804920
  32   -2.995410   -2.995410  -11.009941    6.924738  -11.464853  -15.550056  -15.474405   -3.071060   -3.056302  -10.826776  -14.911980   -2.432984   -2.542702    0.804920
  33   -2.908103   -2.908103  -10.891378    6.745838  -11.442452  -15.587992  -15.613303   -2.882792   -2.887673  -10.776073  -14.921613   -2.216413   -2.349813    0.807138
  34   -2.908103   -2.908103  -10.891378    6.745838  -11.442452  -15.587992  -15.613303   -2.882792   -2.887673  -10.776073  -14.921613   -2.216413   -2.349813    0.807138
 
       k =  0.000000  0.166667  0.000000 ik =   3 spin = 1

   n         Emf          Eo           X        SX-X          CH         Sig         Vxc        Eqp0        Eqp1         CH`        Sig`       Eqp0`       Eqp1`         Znk
  13  -11.145919  -11.145919  -17.107896   12.108959   -9.622566  -14.621504  -13.094503  -12.672920  -12.364292   -9.295100  -14.294037  -12.345453  -12.103011    0.797887
  14  -11.145919  -11.145919  -17.107896   12.108959   -9.622566  -14.621504  -13.094503  -12.672920  -12.364292   -9.295100  -14.294037  -12.345453  -12.103011    0.797887
  15   -9.276835   -9.276835  -17.281312   11.987369  -10.434211  -15.728155  -14.425739  -10.579251  -10.321877   -9.965747  -15.259691  -10.110787   -9.945987    0.802387
  16   -9.276835   -9.276835  -17.281312   11.987369  -10.434211  -15.728155  -14.425739  -10.579251  -10.321877   -9.965747  -15.259691  -10.110787   -9.945987    0.802387
  17   -8.851559   -8.851559  -16.813910   11.695310  -10.456182  -15.574783  -14.105393  -10.320948  -10.043084  -10.006323  -15.124923   -9.871089   -9.678294    0.810898
  18   -8.851559   -8.851559  -16.813910   11.695310  -10.456182  -15.574783  -14.105393  -10.320948  -10.043084  -10.006323  -15.124923   -9.871089   -9.678294    0.810898
  19   -8.099892   -8.099892  -17.539451   12.155312  -11.212413  -16.596552  -15.412238   -9.284206   -9.053681  -10.632032  -16.016171   -8.703825   -8.586271    0.805351
  20   -8.099892   -8.099892  -17.539451   12.155312  -11.212413  -16.596552  -15.412238   -9.284206   -9.053681  -10.632032  -16.016171   -8.703825   -8.586271    0.805351
  21   -7.944299   -7.944299  -17.364451   12.159691  -11.611047  -16.815807  -15.564015   -9.196091   -8.958488  -11.023988  -16.228748   -8.609032   -8.482859    0.810189
  22   -7.944299   -7.944299  -17.364451   12.159691  -11.611047  -16.815807  -15.564015   -9.196091   -8.958488  -11.023988  -16.228748   -8.609032   -8.482859    0.810189
  23   -7.004282   -7.004282  -15.644278   10.696179   -9.902943  -14.851041  -13.266247   -8.589076   -8.304423   -9.547713  -14.495812   -8.233847   -8.012998    0.820385
  24   -7.004282   -7.004282  -15.644278   10.696179   -9.902943  -14.851041  -13.266247   -8.589076   -8.304423   -9.547713  -14.495812   -8.233847   -8.012998    0.820385
  25   -6.229610   -6.229610  -16.316896   10.675287  -10.842552  -16.484160  -15.466309   -7.247461   -7.056795  -10.191295  -15.832903   -6.596204   -6.527533    0.812678
  26   -6.229610   -6.229610  -16.316896   10.675287  -10.842552  -16.484160  -15.466309   -7.247461   -7.056795  -10.191295  -15.832903   -6.596204   -6.527533    0.812678
  27   -3.612079   -3.612079  -10.522422    6.415922  -10.729316  -14.835817  -14.842789   -3.605107   -3.606433  -10.099023  -14.205524   -2.974814   -3.096001    0.809833
  28   -3.612079   -3.612079  -10.522422    6.415922  -10.729316  -14.835817  -14.842789   -3.605107   -3.606433  -10.099023  -14.205524   -2.974814   -3.096001    0.809833
  29   -3.300715   -3.300715  -10.924204    6.448602  -11.075795  -15.551397  -15.650409   -3.201703   -3.220594  -10.371623  -14.847225   -2.497531   -2.650773    0.809206
  30   -3.300715   -3.300715  -10.924204    6.448602  -11.075795  -15.551397  -15.650409   -3.201703   -3.220594  -10.371623  -14.847225   -2.497531   -2.650773    0.809206
  31   -3.250974   -3.250974  -11.106506    6.815208  -11.334631  -15.625929  -15.625792   -3.251111   -3.251084  -10.661563  -14.952861   -2.578043   -2.708504    0.806130
  32   -3.250974   -3.250974  -11.106506    6.815208  -11.334631  -15.625929  -15.625792   -3.251111   -3.251084  -10.661563  -14.952861   -2.578043   -2.708504    0.806130
  33   -2.508809   -2.508809  -10.956686    6.652071  -11.574392  -15.879007  -15.963349   -2.424467   -2.440870  -10.860724  -15.165339   -1.710800   -1.865996    0.805521
  34   -2.508809   -2.508809  -10.956686    6.652071  -11.574392  -15.879007  -15.963349   -2.424467   -2.440870  -10.860724  -15.165339   -1.710800   -1.865996    0.805521
 
       k =  0.000000  0.250000  0.000000 ik =   4 spin = 1

   n         Emf          Eo           X        SX-X          CH         Sig         Vxc        Eqp0        Eqp1         CH`        Sig`       Eqp0`       Eqp1`         Znk
  13  -10.932414  -10.932414  -17.323813   12.463324  -10.146330  -15.006820  -13.535291  -12.403942  -12.108104   -9.773388  -14.633878  -12.031001  -11.810139    0.798959
  14  -10.932414  -10.932414  -17.323813   12.463324  -10.146330  -15.006820  -13.535291  -12.403942  -12.108104   -9.773388  -14.633878  -12.031001  -11.810139    0.798959
  15   -9.729860   -9.729860  -16.786924   11.684761   -9.833926  -14.936089  -13.434285  -11.231664  -10.937440   -9.483413  -14.585576  -10.881151  -10.655597    0.804086
  16   -9.729860   -9.729860  -16.786924   11.684761   -9.833926  -14.936089  -13.434285  -11.231664  -10.937440   -9.483413  -14.585576  -10.881151  -10.655597    0.804086
  17   -9.513679   -9.513679  -16.914581   11.799441  -10.273654  -15.388794  -13.869538  -11.032936  -10.742458   -9.860766  -14.975906  -10.620048  -10.408513    0.808803
  18   -9.513679   -9.513679  -16.914581   11.799441  -10.273654  -15.388794  -13.869538  -11.032936  -10.742458   -9.860766  -14.975906  -10.620048  -10.408513    0.808803
  19   -8.387141   -8.387141  -17.479372   12.293576  -11.476861  -16.662657  -15.367972   -9.681826   -9.434350  -10.916152  -16.101948   -9.121117   -8.980819    0.808852
  20   -8.387141   -8.387141  -17.479372   12.293576  -11.476861  -16.662657  -15.367972   -9.681826   -9.434350  -10.916152  -16.101948   -9.121117   -8.980819    0.808852
  21   -7.674160   -7.674160  -17.215191   11.755456  -10.977042  -16.436776  -15.178359   -8.932576   -8.691413  -10.428710  -15.888444   -8.384244   -8.248164    0.808360
  22   -7.674160   -7.674160  -17.215191   11.755456  -10.977042  -16.436776  -15.178359   -8.932576   -8.691413  -10.428710  -15.888444   -8.384244   -8.248164    0.808360
  23   -7.258033   -7.258033  -15.683124   10.726254   -9.782572  -14.739441  -13.115695   -8.881780   -8.589187   -9.447899  -14.404768   -8.547106   -8.314820    0.819804
  24   -7.258033   -7.258033  -15.683124   10.726254   -9.782572  -14.739441  -13.115695   -8.881780   -8.589187   -9.447899  -14.404768   -8.547106   -8.314820    0.819804
  25   -6.654718   -6.654718  -16.426461   11.076954  -11.076547  -16.426054  -15.421491   -7.659281   -7.468993  -10.439956  -15.789462   -7.022690   -6.952987    0.810576
  26   -6.654718   -6.654718  -16.426461   11.076954  -11.076547  -16.426054  -15.421491   -7.659281   -7.468993  -10.439956  -15.789462   -7.022690   -6.952987    0.810576
  27   -3.747825   -3.747825  -10.766795    6.597757  -10.919393  -15.088431  -15.175047   -3.661209   -3.677739  -10.235404  -14.404443   -2.977221   -3.124281    0.809163
  28   -3.747825   -3.747825  -10.766795    6.597757  -10.919393  -15.088431  -15.175047   -3.661209   -3.677739  -10.235404  -14.404443   -2.977221   -3.124281    0.809163
  29   -3.526848   -3.526848  -11.568678    7.021449  -11.454700  -16.001930  -16.048682   -3.480095   -3.489240  -10.733912  -15.281142   -2.759307   -2.909434    0.804405
  30   -3.526848   -3.526848  -11.568678    7.021449  -11.454700  -16.001930  -16.048682   -3.480095   -3.489240  -10.733912  -15.281142   -2.759307   -2.909434    0.804405
  31   -2.964887   -2.964887  -10.647517    6.493817  -11.313675  -15.467374  -15.642220   -2.790041   -2.823160  -10.580087  -14.733787   -2.056454   -2.228527    0.810582
  32   -2.964887   -2.964887  -10.647517    6.493817  -11.313675  -15.467374  -15.642220   -2.790041   -2.823160  -10.580087  -14.733787   -2.056454   -2.228527    0.810582
  33   -2.087954   -2.087954  -10.952093    6.864816  -12.012756  -16.100032  -16.241538   -1.946448   -1.974205  -11.260683  -15.347960   -1.194375   -1.369659    0.803840
  34   -2.087954   -2.087954  -10.952093    6.864816  -12.012756  -16.100032  -16.241538   -1.946448   -1.974205  -11.260683  -15.347960   -1.194375   -1.369659    0.803840
 
       k =  0.000000  0.333333  0.000000 ik =   5 spin = 1

   n         Emf          Eo           X        SX-X          CH         Sig         Vxc        Eqp0        Eqp1         CH`        Sig`       Eqp0`       Eqp1`         Znk
  13  -11.182373  -11.182373  -17.342276   12.407399  -10.000027  -14.934903  -13.439231  -12.678046  -12.375731   -9.641373  -14.576250  -12.319392  -12.089571    0.797874
  14  -11.182373  -11.182373  -17.342276   12.407399  -10.000027  -14.934903  -13.439231  -12.678046  -12.375731   -9.641373  -14.576250  -12.319392  -12.089571    0.797874
  15  -10.131158  -10.131158  -16.863495   11.776751   -9.952329  -15.039072  -13.452551  -11.717679  -11.412126   -9.590043  -14.676786  -11.355393  -11.119613    0.807407
  16  -10.131158  -10.131158  -16.863495   11.776751   -9.952329  -15.039072  -13.452551  -11.717679  -11.412126   -9.590043  -14.676786  -11.355393  -11.119613    0.807407
  17   -9.822463   -9.822463  -16.785097   11.635602   -9.704719  -14.854213  -13.262864  -11.413813  -11.105209   -9.378427  -14.527921  -11.087521  -10.842194    0.806074
  18   -9.822463   -9.822463  -16.785097   11.635602   -9.704719  -14.854213  -13.262864  -11.413813  -11.105209   -9.378427  -14.527921  -11.087521  -10.842194    0.806074
  19   -8.756655   -8.756655  -17.602115   12.443289  -11.390124  -16.548950  -15.219094  -10.086511   -9.830418  -10.848605  -16.007431   -9.544992   -9.393180    0.807428
  20   -8.756655   -8.756655  -17.602115   12.443289  -11.390124  -16.548950  -15.219094  -10.086511   -9.830418  -10.848605  -16.007431   -9.544992   -9.393180    0.807428
  21   -7.572420   -7.572420  -16.071153   10.969675   -9.893545  -14.995023  -13.380703   -9.186740   -8.892431   -9.532752  -14.634230   -8.825946   -8.597414    0.817689
  22   -7.572420   -7.572420  -16.071153   10.969675   -9.893545  -14.995023  -13.380703   -9.186740   -8.892431   -9.532752  -14.634230   -8.825946   -8.597414    0.817689
  23   -7.247111   -7.247111  -16.788115   11.483306  -10.831479  -16.136288  -14.774474   -8.608925   -8.352836  -10.332933  -15.637742   -8.110379   -7.948041    0.811950
  24   -7.247111   -7.247111  -16.788115   11.483306  -10.831479  -16.136288  -14.774474   -8.608925   -8.352836  -10.332933  -15.637742   -8.110379   -7.948041    0.811950
  25   -6.894406   -6.894406  -16.159008   10.889043  -10.748067  -16.018032  -15.006511   -7.905927   -7.714167  -10.150928  -15.420893   -7.308788   -7.230231    0.810424
  26   -6.894406   -6.894406  -16.159008   10.889043  -10.748067  -16.018032  -15.006511   -7.905927   -7.714167  -10.150928  -15.420893   -7.308788   -7.230231    0.810424
  27   -3.684358   -3.684358  -12.091270    7.391013  -11.910468  -16.610725  -16.785676   -3.509407   -3.544006  -11.087524  -15.787781   -2.686463   -2.883814    0.802232
  28   -3.684358   -3.684358  -12.091270    7.391013  -11.910468  -16.610725  -16.785676   -3.509407   -3.544006  -11.087524  -15.787781   -2.686463   -2.883814    0.802232
  29   -3.554302   -3.554302  -11.298990    6.549162  -11.116461  -15.866290  -16.045042   -3.375549   -3.410395  -10.340916  -15.090744   -2.600004   -2.786034    0.805061
  30   -3.554302   -3.554302  -11.298990    6.549162  -11.116461  -15.866290  -16.045042   -3.375549   -3.410395  -10.340916  -15.090744   -2.600004   -2.786034    0.805061
  31   -2.476725   -2.476725  -10.258166    5.939924  -10.945555  -15.263798  -15.436379   -2.304143   -2.336913  -10.222714  -14.540956   -1.581302   -1.751324    0.810121
  32   -2.476725   -2.476725  -10.258166    5.939924  -10.945555  -15.263798  -15.436379   -2.304143   -2.336913  -10.222714  -14.540956   -1.581302   -1.751324    0.810121
  33   -1.783024   -1.783024  -10.896206    6.741838  -12.039758  -16.194126  -16.377680   -1.599470   -1.635632  -11.262654  -15.417022   -0.822366   -1.011628    0.802987
  34   -1.783024   -1.783024  -10.896206    6.741838  -12.039758  -16.194126  -16.377680   -1.599470   -1.635632  -11.262654  -15.417022   -0.822366   -1.011628    0.802987
 
       k =  0.000000  0.416667  0.000000 ik =   6 spin = 1

   n         Emf          Eo           X        SX-X          CH         Sig         Vxc        Eqp0        Eqp1         CH`        Sig`       Eqp0`       Eqp1`         Znk
  13  -11.564017  -11.564017  -17.117696   12.294437   -9.697513  -14.520773  -12.919144  -13.165645  -12.840387   -9.397627  -14.220886  -12.865759  -12.601402    0.796920
  14  -11.564017  -11.564017  -17.117696   12.294437   -9.697513  -14.520773  -12.919144  -13.165645  -12.840387   -9.397627  -14.220886  -12.865759  -12.601402    0.796920
  15  -10.580601  -10.580601  -16.781819   11.905577   -9.855133  -14.731375  -13.090348  -12.221629  -11.904024   -9.533649  -14.409891  -11.900145  -11.644760    0.806460
  16  -10.580601  -10.580601  -16.781819   11.905577   -9.855133  -14.731375  -13.090348  -12.221629  -11.904024   -9.533649  -14.409891  -11.900145  -11.644760    0.806460
  17   -9.926907   -9.926907  -17.233977   12.021808  -10.071691  -15.283860  -13.778587  -11.432179  -11.137386   -9.684539  -14.896707  -11.045027  -10.826054    0.804160
  18   -9.926907   -9.926907  -17.233977   12.021808  -10.071691  -15.283860  -13.778587  -11.432179  -11.137386   -9.684539  -14.896707  -11.045027  -10.826054    0.804160
  19   -8.996419   -8.996419  -17.694478   12.394683  -11.184055  -16.483850  -15.132084  -10.348186  -10.086486  -10.655243  -15.955038   -9.819374   -9.660051    0.806402
  20   -8.996419   -8.996419  -17.694478   12.394683  -11.184055  -16.483850  -15.132084  -10.348186  -10.086486  -10.655243  -15.955038   -9.819374   -9.660051    0.806402
  21   -7.764040   -7.764040  -16.410504   11.240682  -10.081386  -15.251208  -13.650076   -9.365173   -9.070650   -9.692526  -14.862348   -8.976313   -8.753319    0.816053
  22   -7.764040   -7.764040  -16.410504   11.240682  -10.081386  -15.251208  -13.650076   -9.365173   -9.070650   -9.692526  -14.862348   -8.976313   -8.753319    0.816053
  23   -6.961049   -6.961049  -16.368481   11.274410  -10.686093  -15.780164  -14.321683   -8.419530   -8.149677  -10.244544  -15.338615   -7.977981   -7.789825    0.814977
  24   -6.961049   -6.961049  -16.368481   11.274410  -10.686093  -15.780164  -14.321683   -8.419530   -8.149677  -10.244544  -15.338615   -7.977981   -7.789825    0.814977
  25   -6.713405   -6.713405  -15.750501   10.742263  -10.572750  -15.580987  -14.490672   -7.803721   -7.599988  -10.036118  -15.044356   -7.267089   -7.163629    0.813143
  26   -6.713405   -6.713405  -15.750501   10.742263  -10.572750  -15.580987  -14.490672   -7.803721   -7.599988  -10.036118  -15.044356   -7.267089   -7.163629    0.813143
  27   -3.669184   -3.669184  -12.730124    7.585008  -12.312610  -17.457727  -17.772723   -3.354188   -3.417647  -11.374869  -16.519986   -2.416447   -2.668821    0.798542
  28   -3.669184   -3.669184  -12.730124    7.585008  -12.312610  -17.457727  -17.772723   -3.354188   -3.417647  -11.374869  -16.519986   -2.416447   -2.668821    0.798542
  29   -3.276327   -3.276327  -11.828479    6.687679  -11.556555  -16.697355  -16.965772   -3.007910   -3.061531  -10.685149  -15.825950   -2.136504   -2.364203    0.800233
  30   -3.276327   -3.276327  -11.828479    6.687679  -11.556555  -16.697355  -16.965772   -3.007910   -3.061531  -10.685149  -15.825950   -2.136504   -2.364203    0.800233
  31   -2.117234   -2.117234   -9.809544    5.990548  -11.122888  -14.941883  -15.098848   -1.960270   -1.990087  -10.433600  -14.252596   -1.270983   -1.431736    0.810041
  32   -2.117234   -2.117234   -9.809544    5.990548  -11.122888  -14.941883  -15.098848   -1.960270   -1.990087  -10.433600  -14.252596   -1.270983   -1.431736    0.810041
  33   -1.617084   -1.617084  -10.836492    6.743832  -12.108368  -16.201028  -16.408719   -1.409393   -1.450358  -11.323217  -15.415877   -0.624242   -0.820070    0.802760
  34   -1.617084   -1.617084  -10.836492    6.743832  -12.108368  -16.201028  -16.408719   -1.409393   -1.450358  -11.323217  -15.415877   -0.624242   -0.820070    0.802760
 
       k =  0.000000  0.500000  0.000000 ik =   7 spin = 1

   n         Emf          Eo           X        SX-X          CH         Sig         Vxc        Eqp0        Eqp1         CH`        Sig`       Eqp0`       Eqp1`         Znk
  13  -11.727188  -11.727188  -17.008145   12.158579   -9.481802  -14.331368  -12.681173  -13.377383  -13.041537   -9.207456  -14.057022  -13.103037  -12.823026    0.796481
  14  -11.727188  -11.727188  -17.008145   12.158579   -9.481802  -14.331368  -12.681173  -13.377383  -13.041537   -9.207456  -14.057022  -13.103037  -12.823026    0.796481
  15  -10.747180  -10.747180  -16.748601   11.931827   -9.796340  -14.613114  -12.952083  -12.408211  -12.086232   -9.489659  -14.306433  -12.101530  -11.838999    0.806157
  16  -10.747180  -10.747180  -16.748601   11.931827   -9.796340  -14.613114  -12.952083  -12.408211  -12.086232   -9.489659  -14.306433  -12.101530  -11.838999    0.806157
  17  -10.005713  -10.005713  -17.426921   12.209666  -10.241115  -15.458370  -14.005046  -11.459037  -11.172646   -9.825301  -15.042556  -11.043222  -10.838772    0.802941
  18  -10.005713  -10.005713  -17.426921   12.209666  -10.241115  -15.458370  -14.005046  -11.459037  -11.172646   -9.825301  -15.042556  -11.043222  -10.838772    0.802941
  19   -9.078970   -9.078970  -17.727122   12.343888  -11.079616  -16.462850  -15.103752  -10.438068  -10.174425  -10.554043  -15.937277   -9.912496   -9.750806    0.806017
  20   -9.078970   -9.078970  -17.727122   12.343888  -11.079616  -16.462850  -15.103752  -10.438068  -10.174425  -10.554043  -15.937277   -9.912496   -9.750806    0.806017
  21   -7.826001   -7.826001  -16.543878   11.341685  -10.155204  -15.357397  -13.762187   -9.421211   -9.126766   -9.755423  -14.957615   -9.021429   -8.800776    0.815419
  22   -7.826001   -7.826001  -16.543878   11.341685  -10.155204  -15.357397  -13.762187   -9.421211   -9.126766   -9.755423  -14.957615   -9.021429   -8.800776    0.815419
  23   -6.860773   -6.860773  -16.190111   11.161862  -10.588106  -15.616354  -14.108667   -8.368460   -8.091512  -10.174268  -15.202517   -7.954623   -7.753693    0.816309
  24   -6.860773   -6.860773  -16.190111   11.161862  -10.588106  -15.616354  -14.108667   -8.368460   -8.091512  -10.174268  -15.202517   -7.954623   -7.753693    0.816309
  25   -6.546113   -6.546113  -15.563308   10.630166  -10.489106  -15.422248  -14.295695   -7.672665   -7.463964   -9.975295  -14.908437   -7.158855   -7.045340    0.814743
