
 frequency_dependence   1

 band_index    11    40
 sigma_matrix     0   0

 finite_difference_form   1
 finite_difference_spacing  1.000000

 symmetries
 ntran  = 12
 mtrx01 =  1  0  0  0  1  0  0  0  1
 mtrx02 = -1  0  0  0 -1  0  0  0  1
 mtrx03 =  1 -1  0  1  0  0  0  0  1
 mtrx04 =  0  1  0 -1  1  0  0  0  1
 mtrx05 =  0 -1  0  1 -1  0  0  0  1
 mtrx06 = -1  1  0 -1  0  0  0  0  1
 mtrx07 =  1 -1  0  0 -1  0  0  0  1
 mtrx08 = -1  1  0  0  1  0  0  0  1
 mtrx09 =  0  1  0  1  0  0  0  0  1
 mtrx10 = -1  0  0 -1  1  0  0  0  1
 mtrx11 =  1  0  0  1 -1  0  0  0  1
 mtrx12 =  0 -1  0 -1  0  0  0  0  1
 
       k =  0.000000  0.000000  0.000000 ik =   1 spin = 1

   n        elda        ecor           x        sx-x          ch         sig         vxc        eqp0        eqp1         ch'        sig'       eqp0'       eqp1'         Znk
  23    7.701260    7.701260  -32.053132   18.047592  -13.937520  -27.943060  -25.464323    5.222523    5.761814  -13.599270  -27.604810    5.560773    6.026472    0.782433
  24    8.407087    8.407087  -32.031386   18.301636  -14.424828  -28.154577  -25.816235    6.068745    6.578347  -14.083735  -27.813485    6.409838    6.845104    0.782067
  25    8.496576    8.496576  -33.041884   18.594613  -14.657729  -29.105001  -26.658321    6.049896    6.584102  -14.287086  -28.734358    6.420539    6.873819    0.781661
  26    8.496576    8.496576  -33.041884   18.594613  -14.657729  -29.105001  -26.658321    6.049896    6.584102  -14.287086  -28.734358    6.420539    6.873819    0.781661
  27    9.240801    9.240801   -9.183124    5.490182   -8.958354  -12.651296  -13.352861    9.942366    9.819742   -8.920241  -12.613183    9.980479    9.851194    0.825214
  28   13.560476   13.560476   -7.777922    4.182114   -8.700039  -12.295847  -13.556169   14.820799   14.598811   -8.651823  -12.247631   14.869015   14.638534    0.823864
  29   16.635172   16.635172   -9.995868    6.042721  -11.126980  -15.080127  -16.020784   17.575830   17.378224  -11.011793  -14.964940   17.691017   17.469214    0.789928
  30   21.173321   21.173321   -6.354795    2.691159   -7.912589  -11.576225  -12.929020   22.526116   22.278360   -7.846202  -11.509839   22.592502   22.332588    0.816856
  31   21.173321   21.173321   -6.354795    2.691159   -7.912589  -11.576225  -12.929020   22.526116   22.278360   -7.846202  -11.509839   22.592502   22.332589    0.816856
  32   22.446484   22.446484   -5.983617    2.481904   -7.909832  -11.411545  -12.856946   23.891885   23.622619   -7.860675  -11.362389   23.941041   23.662618    0.813708
  33   22.447043   22.447043   -6.653975    3.066357   -8.712456  -12.300074  -13.743679   23.890648   23.607435   -8.643568  -12.231186   23.959536   23.662808    0.803815
  34   22.447043   22.447043   -6.653975    3.066357   -8.712456  -12.300074  -13.743679   23.890648   23.607435   -8.643568  -12.231186   23.959536   23.662808    0.803815
  35   24.790601   24.790601   -4.027885    2.116786   -7.575139   -9.486238  -10.492956   25.797319   25.585691   -7.509394   -9.420494   25.863063   25.637615    0.789784
  36   26.541638   26.541638   -6.876781    4.032751   -9.427323  -12.271353  -13.403918   27.674203   27.442386   -9.298452  -12.142482   27.803074   27.544879    0.795317
  37   26.541638   26.541638   -6.876781    4.032751   -9.427323  -12.271353  -13.403918   27.674203   27.442386   -9.298452  -12.142482   27.803074   27.544879    0.795317
  38   28.156252   28.156252   -4.029413    2.299093   -8.214514   -9.944834  -10.943607   29.155025   28.929302   -8.151778   -9.882097   29.217762   28.977860    0.773999
  39   28.175230   28.175230   -4.321637    2.542741   -8.197311   -9.976207  -10.828852   29.027875   28.845279   -8.116836   -9.895732   29.108350   28.908520    0.785847
  40   28.175231   28.175231   -4.321637    2.542741   -8.197311   -9.976207  -10.828852   29.027876   28.845279   -8.116836   -9.895732   29.108350   28.908520    0.785847
 
       k =  0.000000  0.000000  0.333333 ik =   2 spin = 1

   n        elda        ecor           x        sx-x          ch         sig         vxc        eqp0        eqp1         ch'        sig'       eqp0'       eqp1'         Znk
  11    2.551972    2.551972  -31.864097   17.107583  -11.573464  -26.329979  -23.568896   -0.209111    0.432744  -11.241792  -25.998307    0.122560    0.687313    0.767535
  12    2.616941    2.616941  -38.857709   19.739952  -13.205069  -32.322826  -29.042285   -0.663601    0.124280  -12.698037  -31.815795   -0.156569    0.509539    0.759832
  13    2.729948    2.729948  -41.485263   20.803616  -13.882787  -34.564434  -31.110598   -0.723887    0.115859  -13.311515  -33.993161   -0.152614    0.548236    0.756866
  14    2.729949    2.729949  -41.485263   20.803616  -13.882787  -34.564434  -31.110598   -0.723887    0.115860  -13.311515  -33.993161   -0.152614    0.548236    0.756866
  15    2.820333    2.820333  -41.606439   20.804861  -13.887513  -34.689090  -31.235794   -0.632964    0.204789  -13.311411  -34.112988   -0.056862    0.641131    0.757405
  16    2.820333    2.820333  -41.606439   20.804861  -13.887513  -34.689090  -31.235794   -0.632964    0.204789  -13.311411  -34.112988   -0.056861    0.641132    0.757405
  17    3.939111    3.939111  -48.295407   22.473737  -14.942725  -40.764395  -36.834736    0.009452    0.962960  -14.149898  -39.971568    0.802279    1.563412    0.757356
  18    3.939111    3.939111  -48.295407   22.473737  -14.942725  -40.764395  -36.834736    0.009452    0.962960  -14.149898  -39.971568    0.802279    1.563412    0.757356
  19    4.048461    4.048461  -48.740468   22.679544  -15.111917  -41.172840  -37.222247    0.097868    1.056521  -14.306526  -40.367450    0.903258    1.666475    0.757339
  20    4.048461    4.048461  -48.740468   22.679544  -15.111917  -41.172840  -37.222247    0.097868    1.056521  -14.306526  -40.367450    0.903258    1.666475    0.757339
  21    5.417165    5.417165  -38.842118   19.681266  -13.964195  -33.125047  -30.041110    2.333228    3.034932  -13.419658  -32.580510    2.877764    3.455567    0.772465
  22    7.044683    7.044683  -31.828552   17.178396  -13.192794  -27.842950  -25.517286    4.719019    5.216848  -12.814405  -27.464560    5.097408    5.514240    0.785941
  23    7.903345    7.903345  -32.280199   18.191041  -14.120972  -28.210130  -25.739856    5.433071    5.970826  -13.775440  -27.864598    5.778603    6.241139    0.782309
  24    7.903345    7.903345  -32.280199   18.191041  -14.120972  -28.210130  -25.739856    5.433071    5.970826  -13.775440  -27.864598    5.778603    6.241139    0.782309
  25    8.301481    8.301481  -32.789373   18.466963  -14.477617  -28.800027  -26.344342    5.845796    6.381360  -14.115651  -28.438061    6.207762    6.664384    0.781909
  26    8.301482    8.301482  -32.789373   18.466963  -14.477617  -28.800027  -26.344342    5.845796    6.381360  -14.115651  -28.438061    6.207762    6.664384    0.781909
  27   10.893778   10.893778  -11.905616    7.214024  -10.480979  -15.172571  -15.686895   11.408102   11.311068  -10.402230  -15.093822   11.486851   11.374960    0.811337
  28   12.755467   12.755467   -9.421644    5.556039   -9.787156  -13.652762  -14.628830   13.731535   13.549977   -9.725727  -13.591333   13.792963   13.599980    0.813991
  29   17.410462   17.410462   -8.167786    4.393649   -9.465002  -13.239139  -14.427801   18.599124   18.367177   -9.378449  -13.152586   18.685677   18.436841    0.804867
  30   19.855864   19.855864   -6.212030    2.789104   -8.017959  -11.440885  -12.824879   21.239858   20.983636   -7.962371  -11.385298   21.295445   21.028932    0.814868
  31   21.242656   21.242656   -6.407772    2.814411   -8.024741  -11.618102  -12.962889   22.587443   22.341132   -7.956750  -11.550111   22.655434   22.396670    0.816840
  32   21.242656   21.242656   -6.407772    2.814411   -8.024741  -11.618102  -12.962889   22.587443   22.341132   -7.956750  -11.550111   22.655434   22.396670    0.816840
  33   21.831541   21.831541   -6.509573    2.987547   -8.374704  -11.896730  -13.277874   23.212685   22.950879   -8.305857  -11.827883   23.281532   23.006676    0.810443
  34   21.831541   21.831541   -6.509573    2.987547   -8.374704  -11.896730  -13.277874   23.212685   22.950879   -8.305857  -11.827883   23.281532   23.006676    0.810443
  35   25.715591   25.715591   -3.942145    2.171471   -7.845863   -9.616537  -10.659939   26.758993   26.542747   -7.791209   -9.561883   26.813646   26.586073    0.792749
  36   27.294640   27.294640   -3.747852    2.098320   -8.001015   -9.650547  -10.679104   28.323197   28.102745   -7.948303   -9.597835   28.375910   28.144160    0.785669
  37   27.612501   27.612501   -6.498738    3.982081   -9.766578  -12.283236  -13.393395   28.722660   28.481024   -9.643053  -12.159710   28.846185   28.577663    0.782341
  38   27.612501   27.612501   -6.498738    3.982081   -9.766578  -12.283236  -13.393395   28.722660   28.481024   -9.643053  -12.159710   28.846186   28.577663    0.782341
  39   28.975909   28.975909   -5.003024    2.857151   -9.117701  -11.263575  -12.185478   29.897813   29.679031   -9.019615  -11.165488   29.995899   29.753840    0.762684
  40   28.975909   28.975909   -5.003024    2.857151   -9.117701  -11.263575  -12.185478   29.897813   29.679031   -9.019615  -11.165488   29.995899   29.753840    0.762684
 
       k =  0.000000  0.000000  0.666667 ik =   3 spin = 1

   n        elda        ecor           x        sx-x          ch         sig         vxc        eqp0        eqp1         ch'        sig'       eqp0'       eqp1'         Znk
  11    2.551972    2.551972  -31.864127   17.110077  -11.574115  -26.328166  -23.568896   -0.207299    0.434206  -11.242445  -25.996495    0.124372    0.688767    0.767509
  12    2.616941    2.616941  -38.857612   19.737197  -13.204385  -32.324800  -29.042285   -0.665575    0.122776  -12.697353  -31.817768   -0.158542    0.508036    0.759833
  13    2.729948    2.729948  -41.485263   20.803201  -13.882838  -34.564900  -31.110598   -0.724353    0.115500  -13.311565  -33.993627   -0.153080    0.547878    0.756867
  14    2.729949    2.729949  -41.485263   20.803201  -13.882838  -34.564900  -31.110598   -0.724353    0.115501  -13.311565  -33.993627   -0.153080    0.547878    0.756867
  15    2.820333    2.820333  -41.606430   20.805477  -13.887466  -34.688419  -31.235794   -0.632293    0.205381  -13.311364  -34.112317   -0.056190    0.641710    0.757381
  16    2.820333    2.820333  -41.606430   20.805477  -13.887466  -34.688419  -31.235794   -0.632292    0.205382  -13.311364  -34.112317   -0.056190    0.641710    0.757381
  17    3.939111    3.939111  -48.295423   22.473475  -14.942547  -40.764495  -36.834736    0.009352    0.962901  -14.149721  -39.971668    0.802179    1.563350    0.757352
  18    3.939111    3.939111  -48.295423   22.473475  -14.942547  -40.764495  -36.834736    0.009352    0.962901  -14.149721  -39.971668    0.802179    1.563350    0.757352
  19    4.048461    4.048461  -48.740459   22.683422  -15.115658  -41.172695  -37.222247    0.098013    1.056640  -14.310268  -40.367305    0.903403    1.666592    0.757337
  20    4.048461    4.048461  -48.740459   22.683422  -15.115658  -41.172695  -37.222247    0.098013    1.056640  -14.310268  -40.367305    0.903403    1.666592    0.757337
  21    5.417165    5.417165  -38.842378   19.687472  -13.967534  -33.122440  -30.041110    2.335834    3.036887  -13.422997  -32.577903    2.880372    3.457534    0.772484
  22    7.044683    7.044683  -31.828137   17.166847  -13.190163  -27.851454  -25.517286    4.710515    5.210195  -12.811775  -27.473065    5.088903    5.507581    0.785928
  23    7.903345    7.903345  -32.280264   18.192706  -14.121605  -28.209163  -25.739856    5.434038    5.971573  -13.776073  -27.863631    5.779570    6.241887    0.782313
  24    7.903345    7.903345  -32.280264   18.192706  -14.121605  -28.209163  -25.739856    5.434038    5.971573  -13.776073  -27.863631    5.779570    6.241887    0.782313
  25    8.301481    8.301481  -32.789296   18.466139  -14.477066  -28.800224  -26.344342    5.845599    6.381215  -14.115101  -28.438258    6.207565    6.664238    0.781905
  26    8.301482    8.301482  -32.789296   18.466139  -14.477066  -28.800224  -26.344342    5.845599    6.381215  -14.115101  -28.438258    6.207565    6.664238    0.781905
  27   10.893778   10.893778  -11.906108    7.230756  -10.484586  -15.159937  -15.686895   11.420735   11.321318  -10.405838  -15.081189   11.499484   11.385210    0.811338
  28   12.755467   12.755467   -9.421482    5.550322   -9.784890  -13.656050  -14.628830   13.728246   13.547298   -9.723462  -13.594622   13.789675   13.597300    0.813989
  29   17.410462   17.410462   -8.167705    4.379547   -9.461289  -13.249447  -14.427801   18.588816   18.358897   -9.374736  -13.162894   18.675369   18.428562    0.804881
  30   19.855864   19.855864   -6.211967    2.796750   -8.020647  -11.435865  -12.824879   21.244878   20.987332   -7.965060  -11.380277   21.300466   21.032612    0.814583
  31   21.242656   21.242656   -6.407791    2.815651   -8.025459  -11.617599  -12.962889   22.587946   22.341579   -7.957468  -11.549608   22.655937   22.397119    0.816867
  32   21.242656   21.242656   -6.407791    2.815651   -8.025459  -11.617599  -12.962889   22.587946   22.341579   -7.957468  -11.549608   22.655937   22.397119    0.816867
  33   21.831541   21.831541   -6.509508    2.986113   -8.374753  -11.898148  -13.277874   23.211267   22.949666   -8.305906  -11.829301   23.280113   23.005459    0.810397
  34   21.831541   21.831541   -6.509508    2.986113   -8.374753  -11.898148  -13.277874   23.211267   22.949666   -8.305906  -11.829301   23.280113   23.005459    0.810397
  35   25.715591   25.715591   -3.942192    2.170891   -7.847247   -9.618548  -10.659939   26.756982   26.543434   -7.792594   -9.563894   26.811635   26.586880    0.794940
  36   27.294640   27.294640   -3.747820    2.100056   -8.003446   -9.651210  -10.679104   28.322534   28.102217   -7.950734   -9.598498   28.375247   28.143632    0.785662
  37   27.612501   27.612501   -6.498854    3.987290   -9.768750  -12.280313  -13.393395   28.725583   28.483411   -9.645224  -12.156787   28.849108   28.580062    0.782432
  38   27.612501   27.612501   -6.498854    3.987290   -9.768750  -12.280313  -13.393395   28.725583   28.483411   -9.645224  -12.156787   28.849109   28.580062    0.782432
  39   28.975909   28.975909   -5.003044    2.858910   -9.120377  -11.264511  -12.185478   29.896877   29.679429   -9.022291  -11.166424   29.994963   29.754357    0.763893
  40   28.975909   28.975909   -5.003044    2.858910   -9.120377  -11.264511  -12.185478   29.896877   29.679429   -9.022291  -11.166424   29.994963   29.754357    0.763893
 
       k =  0.000000  0.200000  0.000000 ik =   4 spin = 1

   n        elda        ecor           x        sx-x          ch         sig         vxc        eqp0        eqp1         ch'        sig'       eqp0'       eqp1'         Znk
  11    2.512875    2.512875  -37.795015   19.319488  -12.942613  -31.418140  -28.192390   -0.712875    0.058854  -12.463607  -30.939134   -0.233870    0.423262    0.760760
  12    2.818031    2.818031  -41.686149   20.763592  -13.868752  -34.791309  -31.298541   -0.674737    0.172600  -13.291504  -34.214061   -0.097489    0.609809    0.757403
  13    2.818577    2.818577  -40.163479   20.202125  -13.535367  -33.496720  -30.111701   -0.566442    0.249490  -12.995537  -32.956891   -0.026612    0.659198    0.758958
  14    2.937336    2.937336  -40.635772   20.346185  -13.641845  -33.931432  -30.508205   -0.485891    0.339636  -13.088220  -33.377807    0.067734    0.759752    0.758845
  15    3.060145    3.060145  -41.934895   20.819960  -13.942371  -35.057306  -31.577659   -0.419501    0.424181  -13.354740  -34.469674    0.168130    0.869334    0.757538
  16    3.146782    3.146782  -28.946059   15.956379  -11.036917  -24.026596  -21.491843    0.612029    1.185137  -10.775630  -23.765309    0.873316    1.387347    0.773900
  17    3.785586    3.785586  -47.530698   22.176685  -14.727386  -40.081399  -36.164058   -0.131755    0.815652  -13.955428  -39.309441    0.640203    1.400912    0.758151
  18    3.870851    3.870851  -47.989739   22.395239  -14.904242  -40.498742  -36.560195   -0.067696    0.885434  -14.119921  -39.714421    0.716625    1.479949    0.758000
  19    4.100735    4.100735  -48.933175   22.760239  -15.203642  -41.376577  -37.389123    0.113280    1.080379  -14.392575  -40.565510    0.924347    1.694734    0.757465
  20    4.271866    4.271866  -43.004991   20.810883  -14.191339  -36.385447  -32.883449    0.769867    1.597422  -13.545359  -35.739467    1.415847    2.090751    0.763691
  21    4.351372    4.351372  -48.563479   22.736737  -15.243954  -41.070696  -37.120300    0.400976    1.360976  -14.446763  -40.273505    1.198167    1.964439    0.756986
  22    6.446193    6.446193  -32.603403   17.514747  -13.036979  -28.125636  -25.532852    3.853409    4.417416  -12.661835  -27.750491    4.228554    4.710956    0.782471
  23    7.113568    7.113568  -32.757861   17.513961  -13.397036  -28.640936  -26.185913    4.658544    5.187301  -13.003544  -28.247445    5.052036    5.496044    0.784622
  24    7.206084    7.206084  -31.623597   17.609475  -13.429340  -27.443462  -24.923601    4.686223    5.232761  -13.100957  -27.115079    5.014607    5.489920    0.783108
  25    8.136928    8.136928  -31.908800   18.172962  -14.218494  -27.954332  -25.560649    5.743245    6.263039  -13.881558  -27.617396    6.080181    6.526809    0.782847
  26    8.219577    8.219577  -32.661536   18.358951  -14.386321  -28.688905  -26.211818    5.742490    6.281295  -14.028623  -28.331207    6.100188    6.561188    0.782484
  27   11.109929   11.109929  -11.699992    7.119342  -10.501248  -15.081898  -15.624551   11.652582   11.550306  -10.424151  -15.004801   11.729679   11.612872    0.811526
  28   14.912211   14.912211   -8.855978    4.905084   -9.665876  -13.616769  -14.923565   16.219006   15.974639   -9.596456  -13.547350   16.288426   16.031077    0.813002
  29   16.586311   16.586311   -9.635308    5.558237  -10.382079  -14.459149  -15.341921   17.469082   17.291353  -10.263366  -14.340436   17.587796   17.386166    0.798669
  30   18.615480   18.615480   -7.075312    3.430731   -8.422241  -12.066823  -13.246688   19.795345   19.577790   -8.339563  -11.984144   19.878023   19.645224    0.815611
  31   20.473098   20.473098   -6.829641    3.200023   -8.618996  -12.248614  -13.621793   21.846276   21.584822   -8.549758  -12.179376   21.915515   21.640878    0.809600
  32   21.540914   21.540914   -6.568687    3.087401   -8.616644  -12.097930  -13.444722   22.887706   22.626893   -8.546358  -12.027644   22.957991   22.683567    0.806345
  33   22.074500   22.074500   -6.534874    3.035667   -8.330363  -11.829570  -13.054507   23.299437   23.064011   -8.237359  -11.736566   23.392441   23.139140    0.807805
  34   22.649780   22.649780   -6.924210    3.198603   -8.918099  -12.643706  -14.063052   24.069126   23.785434   -8.836155  -12.561762   24.151070   23.851000    0.800125
  35   23.757754   23.757754   -6.148072    3.085606   -8.529619  -11.592085  -12.870027   25.035696   24.786996   -8.452379  -11.514845   25.112936   24.849204    0.805390
  36   25.739804   25.739804   -6.306721    3.734715   -8.986134  -11.558140  -12.593527   26.775190   26.569086   -8.869317  -11.441322   26.892008   26.662650    0.800940
  37   26.676382   26.676382   -4.524253    2.497564   -8.300622  -10.327311  -11.356913   27.705984   27.486416   -8.228837  -10.255526   27.777769   27.542892    0.786745
  38   29.459225   29.459225   -5.450547    3.121763   -9.587940  -11.916724  -12.970579   30.513080   30.259295   -9.495276  -11.824060   30.605744   30.329645    0.759184
  39   30.908744   30.908744   -4.932090    2.415146   -8.752120  -11.269064  -12.152832   31.792512   31.577050   -8.659926  -11.176869   31.884707   31.646768    0.756201
  40   31.559083   31.559083   -4.715871    1.915259   -8.060906  -10.861518  -11.747428   32.444993   32.233849   -7.974388  -10.775000   32.531512   32.299747    0.761664
 
       k =  0.000000  0.200000  0.333333 ik =   5 spin = 1

   n        elda        ecor           x        sx-x          ch         sig         vxc        eqp0        eqp1         ch'        sig'       eqp0'       eqp1'         Znk
  11    2.419636    2.419636  -35.844917   18.534220  -12.425057  -29.735753  -26.654117   -0.662000    0.069317  -11.994933  -29.305629   -0.231876    0.397367    0.762685
  12    2.505404    2.505404  -34.051669   17.899887  -12.068816  -28.220598  -25.275086   -0.440108    0.251897  -11.682913  -27.834694   -0.054205    0.547139    0.765064
  13    2.860252    2.860252  -41.673734   20.750333  -13.864357  -34.787758  -31.300872   -0.626635    0.218185  -13.286498  -34.209900   -0.048776    0.656037    0.757715
  14    2.886233    2.886233  -41.184286   20.554433  -13.741433  -34.371286  -30.902646   -0.582407    0.255622  -13.173664  -33.803516   -0.014638    0.686218    0.758398
  15    2.959769    2.959769  -40.130833   20.108158  -13.471514  -33.494190  -30.115677   -0.418744    0.393593  -12.928928  -32.951604    0.123842    0.805718    0.759558
  16    2.979516    2.979516  -41.785043   20.739147  -13.864524  -34.910420  -31.429264   -0.501640    0.341795  -13.281841  -34.327737    0.081043    0.783302    0.757714
  17    3.911477    3.911477  -47.979057   22.311844  -14.836194  -40.503407  -36.568444   -0.023486    0.928863  -14.052195  -39.719408    0.760513    1.523116    0.757978
  18    3.937032    3.937032  -48.271224   22.401461  -14.889957  -40.759720  -36.807542   -0.015146    0.941577  -14.097898  -39.967661    0.776913    1.541899    0.757925
  19    4.052192    4.052192  -48.746173   22.621536  -15.076840  -41.201477  -37.224499    0.075215    1.039207  -14.271310  -40.395946    0.880745    1.649482    0.757607
  20    4.091949    4.091949  -48.484617   22.601480  -15.102896  -40.986033  -37.033353    0.139269    1.096542  -14.304906  -40.188043    0.937259    1.701272    0.757817
  21    5.485145    5.485145  -38.390315   19.506740  -13.908008  -32.791582  -29.722378    2.415940    3.112089  -13.378841  -32.262415    2.945107    3.521231    0.773183
  22    6.495763    6.495763  -34.484327   18.078628  -13.447222  -29.852922  -27.198935    3.841776    4.422226  -13.009613  -29.415312    4.279386    4.764126    0.781292
  23    6.935498    6.935498  -32.163674   17.555436  -13.246876  -27.855113  -25.324586    4.404971    4.953889  -12.891083  -27.499320    4.760764    5.232504    0.783082
  24    7.467711    7.467711  -31.925443   17.814256  -13.676238  -27.787425  -25.276300    4.956586    5.501445  -13.339207  -27.450394    5.293617    5.765347    0.783022
  25    7.802237    7.802237  -31.999943   18.002430  -13.954473  -27.951986  -25.503993    5.354244    5.885546  -13.613668  -27.611181    5.695048    6.152384    0.782964
  26    7.973396    7.973396  -32.442512   18.164133  -14.129096  -28.407474  -25.915678    5.481600    6.023032  -13.777565  -28.055944    5.833130    6.298180    0.782714
  27   11.969759   11.969759  -10.948208    6.686075  -10.457848  -14.719981  -15.393728   12.643506   12.515495  -10.385115  -14.647247   12.716240   12.574409    0.810001
  28   13.794013   13.794013  -10.005382    6.014946  -10.423120  -14.413556  -15.363560   14.744017   14.560643  -10.344564  -14.335000   14.822573   14.624036    0.806976
  29   17.326798   17.326798   -8.161329    4.110171   -8.996331  -13.047488  -14.292216   18.571527   18.337846   -8.904712  -12.955869   18.663146   18.412265    0.812264
  30   18.693069   18.693069   -7.231090    3.360717   -8.384038  -12.254411  -13.540458   19.979116   19.742038   -8.299806  -12.170179   20.063348   19.810742    0.815654
  31   19.953546   19.953546   -6.935201    3.421247   -8.747721  -12.261675  -13.546630   21.238502   20.992882   -8.672780  -12.186734   21.313442   21.053498    0.808850
  32   20.615405   20.615405   -6.564740    3.152638   -8.422077  -11.834179  -13.114440   21.895665   21.654111   -8.348260  -11.760362   21.969482   21.714001    0.811324
  33   21.589728   21.589728   -6.607680    3.118011   -8.606466  -12.096134  -13.432881   22.926475   22.669841   -8.533837  -12.023506   22.999103   22.728526    0.808016
  34   22.074229   22.074229   -6.744465    3.203166   -8.776604  -12.317903  -13.672188   23.428514   23.163814   -8.698516  -12.239815   23.506602   23.226640    0.804546
  35   24.673619   24.673619   -5.599572    3.000233   -8.586061  -11.185401  -12.260819   25.749037   25.528191   -8.500211  -11.099551   25.834887   25.596411    0.794642
  36   26.747220   26.747220   -5.280722    3.006129   -9.002938  -11.277532  -12.348762   27.818450   27.583227   -8.921495  -11.196089   27.899893   27.646786    0.780418
  37   27.352773   27.352773   -6.260034    3.738511   -9.313813  -11.835336  -12.931118   28.448555   28.220655   -9.197962  -11.719485   28.564406   28.312412    0.792021
  38   29.834810   29.834810   -4.558969    2.498109   -8.655285  -10.716145  -11.665835   30.784500   30.562657   -8.580928  -10.641788   30.858857   30.619645    0.766405
  39   30.438181   30.438181   -5.733351    3.374444   -9.654499  -12.013406  -13.014019   31.438794   31.201288   -9.541656  -11.900563   31.551637   31.287347    0.762640
  40   30.806926   30.806926   -5.466334    2.938470   -9.304236  -11.832100  -12.854543   31.829369   31.577900   -9.213525  -11.741389   31.920081   31.646301    0.754050
 
       k =  0.000000  0.200000  0.666667 ik =   6 spin = 1

   n        elda        ecor           x        sx-x          ch         sig         vxc        eqp0        eqp1         ch'        sig'       eqp0'       eqp1'         Znk
  11    2.419636    2.419636  -35.844878   18.532530  -12.424963  -29.737310  -26.654117   -0.663557    0.068037  -11.994838  -29.307185   -0.233433    0.396100    0.762715
  12    2.505404    2.505404  -34.051629   17.903335  -12.069680  -28.217974  -25.275086   -0.437484    0.254086  -11.683778  -27.832072   -0.051582    0.549303    0.765003
  13    2.860252    2.860252  -41.673740   20.749714  -13.864957  -34.788983  -31.300872   -0.627860    0.217226  -13.287097  -34.211124   -0.050000    0.655084    0.757724
  14    2.886233    2.886233  -41.184277   20.556539  -13.744280  -34.372018  -30.902645   -0.583140    0.255099  -13.176510  -33.804248   -0.015369    0.685689    0.758389
  15    2.959769    2.959769  -40.130832   20.107429  -13.469490  -33.492893  -30.115677   -0.417447    0.394544  -12.926905  -32.950308    0.125138    0.806674    0.759568
  16    2.979516    2.979516  -41.785031   20.739867  -13.863905  -34.909069  -31.429264   -0.500290    0.342912  -13.281224  -34.326388    0.082392    0.784402    0.757687
  17    3.911477    3.911477  -47.979083   22.311356  -14.836081  -40.503808  -36.568444   -0.023887    0.928541  -14.052082  -39.719809    0.760111    1.522798    0.757982
