# q=  0.00000000E+00  0.00000000E+00  0.10000000E-02  (qpt 1)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
      17     -0.21666227E-01     -0.21745198E-01     -0.31439624E-03     -0.83267639E-03
      18     -0.21671825E-01     -0.21745198E-01     -0.33283507E-03     -0.83267639E-03
      19     -0.21676518E-01     -0.21745198E-01     -0.35374988E-03     -0.83267639E-03
      20     -0.21680496E-01     -0.21745198E-01     -0.37026146E-03     -0.83267639E-03
      21     -0.21684599E-01     -0.21745198E-01     -0.38672311E-03     -0.83267639E-03
      22     -0.21687359E-01     -0.21745198E-01     -0.40240019E-03     -0.83267639E-03
      23     -0.21690021E-01     -0.21745198E-01     -0.41878188E-03     -0.83267639E-03
      24     -0.21692309E-01     -0.21745198E-01     -0.43563953E-03     -0.83267639E-03
      25     -0.21694435E-01     -0.21745198E-01     -0.45189344E-03     -0.83267639E-03
 
# q=  0.00000000E+00  0.20000000E+00  0.20000000E+00  (qpt 4)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.66277026E-02     -0.14615626E-01     -0.11638061E-04     -0.87337383E-03
       2     -0.10698949E-01     -0.14615626E-01     -0.21342940E-04     -0.87337383E-03
       3     -0.12995742E-01     -0.14615626E-01     -0.31090893E-04     -0.87337383E-03
       4     -0.13876606E-01     -0.14615626E-01     -0.40955624E-04     -0.87337383E-03
       5     -0.14237820E-01     -0.14615626E-01     -0.51790291E-04     -0.87337383E-03
       6     -0.14420818E-01     -0.14615626E-01     -0.62252071E-04     -0.87337383E-03
       7     -0.14485484E-01     -0.14615626E-01     -0.73087115E-04     -0.87337383E-03
       8     -0.14530532E-01     -0.14615626E-01     -0.83972617E-04     -0.87337383E-03
       9     -0.14555792E-01     -0.14615626E-01     -0.95169994E-04     -0.87337383E-03
      10     -0.14571956E-01     -0.14615626E-01     -0.10701684E-03     -0.87337383E-03
      11     -0.14579029E-01     -0.14615626E-01     -0.11907656E-03     -0.87337383E-03
      12     -0.14583833E-01     -0.14615626E-01     -0.13431186E-03     -0.87337383E-03
      13     -0.14586816E-01     -0.14615626E-01     -0.15085725E-03     -0.87337383E-03
      14     -0.14589083E-01     -0.14615626E-01     -0.16851079E-03     -0.87337383E-03
      15     -0.14590599E-01     -0.14615626E-01     -0.19150831E-03     -0.87337383E-03
      16     -0.14591895E-01     -0.14615626E-01     -0.20976859E-03     -0.87337383E-03
      17     -0.14593236E-01     -0.14615626E-01     -0.22996657E-03     -0.87337383E-03
      18     -0.14594441E-01     -0.14615626E-01     -0.24645011E-03     -0.87337383E-03
      19     -0.14595623E-01     -0.14615626E-01     -0.26506949E-03     -0.87337383E-03
      20     -0.14596455E-01     -0.14615626E-01     -0.28039686E-03     -0.87337383E-03
      21     -0.14597514E-01     -0.14615626E-01     -0.29577649E-03     -0.87337383E-03
      22     -0.14598282E-01     -0.14615626E-01     -0.31338351E-03     -0.87337383E-03
      23     -0.14599116E-01     -0.14615626E-01     -0.33161222E-03     -0.87337383E-03
      24     -0.14599824E-01     -0.14615626E-01     -0.34991883E-03     -0.87337383E-03
      25     -0.14600437E-01     -0.14615626E-01     -0.37495314E-03     -0.87337383E-03
 
# q=  0.00000000E+00  0.20000000E+00  0.40000000E+00  (qpt 5)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.81578924E-02     -0.24124182E-01     -0.15782098E-04     -0.86313693E-03
       2     -0.14136134E-01     -0.24124182E-01     -0.30099506E-04     -0.86313693E-03
       3     -0.18236142E-01     -0.24124182E-01     -0.43428550E-04     -0.86313693E-03
       4     -0.20859846E-01     -0.24124182E-01     -0.56496626E-04     -0.86313693E-03
       5     -0.22232103E-01     -0.24124182E-01     -0.69479492E-04     -0.86313693E-03
       6     -0.23044188E-01     -0.24124182E-01     -0.82310266E-04     -0.86313693E-03
       7     -0.23477308E-01     -0.24124182E-01     -0.94140992E-04     -0.86313693E-03
       8     -0.23696827E-01     -0.24124182E-01     -0.10648780E-03     -0.86313693E-03
       9     -0.23828167E-01     -0.24124182E-01     -0.11937230E-03     -0.86313693E-03
      10     -0.23923328E-01     -0.24124182E-01     -0.13184696E-03     -0.86313693E-03
      11     -0.23965413E-01     -0.24124182E-01     -0.14498198E-03     -0.86313693E-03
      12     -0.23998087E-01     -0.24124182E-01     -0.16028420E-03     -0.86313693E-03
      13     -0.24017919E-01     -0.24124182E-01     -0.17601809E-03     -0.86313693E-03
      14     -0.24030005E-01     -0.24124182E-01     -0.19271724E-03     -0.86313693E-03
      15     -0.24038251E-01     -0.24124182E-01     -0.21092756E-03     -0.86313693E-03
      16     -0.24045268E-01     -0.24124182E-01     -0.22792599E-03     -0.86313693E-03
      17     -0.24050988E-01     -0.24124182E-01     -0.24708059E-03     -0.86313693E-03
      18     -0.24056103E-01     -0.24124182E-01     -0.26452682E-03     -0.86313693E-03
      19     -0.24060478E-01     -0.24124182E-01     -0.28343426E-03     -0.86313693E-03
      20     -0.24063867E-01     -0.24124182E-01     -0.30002614E-03     -0.86313693E-03
      21     -0.24067467E-01     -0.24124182E-01     -0.31559492E-03     -0.86313693E-03
      22     -0.24070177E-01     -0.24124182E-01     -0.33322319E-03     -0.86313693E-03
      23     -0.24072952E-01     -0.24124182E-01     -0.35126230E-03     -0.86313693E-03
      24     -0.24075119E-01     -0.24124182E-01     -0.36949306E-03     -0.86313693E-03
      25     -0.24077051E-01     -0.24124182E-01     -0.39221227E-03     -0.86313693E-03
 
# q=  0.00000000E+00  0.20000000E+00  0.60000000E+00  (qpt 6)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.76595433E-02     -0.28166628E-01     -0.20444564E-04     -0.73559189E-03
       2     -0.13719822E-01     -0.28166628E-01     -0.39836626E-04     -0.73559189E-03
       3     -0.18174456E-01     -0.28166628E-01     -0.59823645E-04     -0.73559189E-03
       4     -0.21541609E-01     -0.28166628E-01     -0.78448962E-04     -0.73559189E-03
       5     -0.23663375E-01     -0.28166628E-01     -0.92523671E-04     -0.73559189E-03
       6     -0.25231045E-01     -0.28166628E-01     -0.10599390E-03     -0.73559189E-03
       7     -0.26161986E-01     -0.28166628E-01     -0.11615798E-03     -0.73559189E-03
       8     -0.26825151E-01     -0.28166628E-01     -0.12799526E-03     -0.73559189E-03
       9     -0.27277900E-01     -0.28166628E-01     -0.14008466E-03     -0.73559189E-03
      10     -0.27569627E-01     -0.28166628E-01     -0.15108694E-03     -0.73559189E-03
      11     -0.27711040E-01     -0.28166628E-01     -0.16487537E-03     -0.73559189E-03
      12     -0.27817001E-01     -0.28166628E-01     -0.17704653E-03     -0.73559189E-03
      13     -0.27886367E-01     -0.28166628E-01     -0.18939832E-03     -0.73559189E-03
      14     -0.27927661E-01     -0.28166628E-01     -0.20398817E-03     -0.73559189E-03
      15     -0.27957368E-01     -0.28166628E-01     -0.21825371E-03     -0.73559189E-03
      16     -0.27980174E-01     -0.28166628E-01     -0.23059682E-03     -0.73559189E-03
      17     -0.27997648E-01     -0.28166628E-01     -0.24700008E-03     -0.73559189E-03
      18     -0.28012704E-01     -0.28166628E-01     -0.26029469E-03     -0.73559189E-03
      19     -0.28024454E-01     -0.28166628E-01     -0.27662637E-03     -0.73559189E-03
      20     -0.28033679E-01     -0.28166628E-01     -0.28935505E-03     -0.73559189E-03
      21     -0.28043241E-01     -0.28166628E-01     -0.30368562E-03     -0.73559189E-03
      22     -0.28049484E-01     -0.28166628E-01     -0.31860629E-03     -0.73559189E-03
      23     -0.28055489E-01     -0.28166628E-01     -0.33262112E-03     -0.73559189E-03
      24     -0.28060331E-01     -0.28166628E-01     -0.34965588E-03     -0.73559189E-03
      25     -0.28064380E-01     -0.28166628E-01     -0.36485878E-03     -0.73559189E-03
 
# q=  0.00000000E+00  0.20000000E+00  0.80000000E+00  (qpt 7)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.82188874E-02     -0.21011501E-01     -0.21157372E-04     -0.88124607E-03
       2     -0.13525626E-01     -0.21011501E-01     -0.40651709E-04     -0.88124607E-03
       3     -0.16911595E-01     -0.21011501E-01     -0.59055284E-04     -0.88124607E-03
       4     -0.18835087E-01     -0.21011501E-01     -0.76303715E-04     -0.88124607E-03
       5     -0.19790515E-01     -0.21011501E-01     -0.93281410E-04     -0.88124607E-03
       6     -0.20356100E-01     -0.21011501E-01     -0.11020594E-03     -0.88124607E-03
       7     -0.20659602E-01     -0.21011501E-01     -0.12409833E-03     -0.88124607E-03
       8     -0.20793856E-01     -0.21011501E-01     -0.13807312E-03     -0.88124607E-03
       9     -0.20861437E-01     -0.21011501E-01     -0.15217654E-03     -0.88124607E-03
      10     -0.20904534E-01     -0.21011501E-01     -0.16667801E-03     -0.88124607E-03
      11     -0.20922366E-01     -0.21011501E-01     -0.18051404E-03     -0.88124607E-03
      12     -0.20936473E-01     -0.21011501E-01     -0.19568488E-03     -0.88124607E-03
      13     -0.20946002E-01     -0.21011501E-01     -0.21019522E-03     -0.88124607E-03
      14     -0.20952413E-01     -0.21011501E-01     -0.22499729E-03     -0.88124607E-03
      15     -0.20956772E-01     -0.21011501E-01     -0.24143059E-03     -0.88124607E-03
      16     -0.20960277E-01     -0.21011501E-01     -0.25741063E-03     -0.88124607E-03
      17     -0.20963841E-01     -0.21011501E-01     -0.27664331E-03     -0.88124607E-03
      18     -0.20966931E-01     -0.21011501E-01     -0.29492314E-03     -0.88124607E-03
      19     -0.20969646E-01     -0.21011501E-01     -0.31563082E-03     -0.88124607E-03
      20     -0.20971715E-01     -0.21011501E-01     -0.33333784E-03     -0.88124607E-03
      21     -0.20973939E-01     -0.21011501E-01     -0.35085527E-03     -0.88124607E-03
      22     -0.20975660E-01     -0.21011501E-01     -0.36944374E-03     -0.88124607E-03
      23     -0.20977416E-01     -0.21011501E-01     -0.38686493E-03     -0.88124607E-03
      24     -0.20978834E-01     -0.21011501E-01     -0.40675322E-03     -0.88124607E-03
      25     -0.20980143E-01     -0.21011501E-01     -0.42641542E-03     -0.88124607E-03
 
# q=  0.00000000E+00  0.40000000E+00  0.40000000E+00  (qpt 8)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.73510671E-02     -0.27250177E-01     -0.33025959E-04     -0.82275582E-03
       2     -0.13586316E-01     -0.27250177E-01     -0.57453968E-04     -0.82275582E-03
       3     -0.18634591E-01     -0.27250177E-01     -0.79396107E-04     -0.82275582E-03
       4     -0.22235141E-01     -0.27250177E-01     -0.97572779E-04     -0.82275582E-03
       5     -0.24161124E-01     -0.27250177E-01     -0.11484632E-03     -0.82275582E-03
       6     -0.25335841E-01     -0.27250177E-01     -0.13095479E-03     -0.82275582E-03
       7     -0.25962208E-01     -0.27250177E-01     -0.14403814E-03     -0.82275582E-03
       8     -0.26293878E-01     -0.27250177E-01     -0.15810152E-03     -0.82275582E-03
       9     -0.26543846E-01     -0.27250177E-01     -0.17263341E-03     -0.82275582E-03
      10     -0.26785199E-01     -0.27250177E-01     -0.18635512E-03     -0.82275582E-03
      11     -0.26886697E-01     -0.27250177E-01     -0.20189142E-03     -0.82275582E-03
      12     -0.26990168E-01     -0.27250177E-01     -0.21739980E-03     -0.82275582E-03
      13     -0.27042348E-01     -0.27250177E-01     -0.23315409E-03     -0.82275582E-03
      14     -0.27067252E-01     -0.27250177E-01     -0.25078329E-03     -0.82275582E-03
      15     -0.27088404E-01     -0.27250177E-01     -0.26770256E-03     -0.82275582E-03
      16     -0.27106017E-01     -0.27250177E-01     -0.28623082E-03     -0.82275582E-03
      17     -0.27118438E-01     -0.27250177E-01     -0.30349894E-03     -0.82275582E-03
      18     -0.27129371E-01     -0.27250177E-01     -0.32170163E-03     -0.82275582E-03
      19     -0.27136900E-01     -0.27250177E-01     -0.34221901E-03     -0.82275582E-03
      20     -0.27144705E-01     -0.27250177E-01     -0.35850752E-03     -0.82275582E-03
      21     -0.27151274E-01     -0.27250177E-01     -0.37413218E-03     -0.82275582E-03
      22     -0.27156692E-01     -0.27250177E-01     -0.38976217E-03     -0.82275582E-03
      23     -0.27161893E-01     -0.27250177E-01     -0.40587754E-03     -0.82275582E-03
      24     -0.27165622E-01     -0.27250177E-01     -0.42229911E-03     -0.82275582E-03
      25     -0.27168956E-01     -0.27250177E-01     -0.43922780E-03     -0.82275582E-03
 
# q=  0.00000000E+00  0.40000000E+00  0.60000000E+00  (qpt 9)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.77921604E-02     -0.31821840E-01     -0.25284476E-04     -0.94496584E-03
       2     -0.13994235E-01     -0.31821840E-01     -0.48747368E-04     -0.94496584E-03
       3     -0.18903613E-01     -0.31821840E-01     -0.69735462E-04     -0.94496584E-03
       4     -0.22635941E-01     -0.31821840E-01     -0.90292400E-04     -0.94496584E-03
       5     -0.25140368E-01     -0.31821840E-01     -0.11205296E-03     -0.94496584E-03
       6     -0.27042833E-01     -0.31821840E-01     -0.13312364E-03     -0.94496584E-03
       7     -0.28251981E-01     -0.31821840E-01     -0.14881060E-03     -0.94496584E-03
       8     -0.29182057E-01     -0.31821840E-01     -0.16588258E-03     -0.94496584E-03
       9     -0.29873265E-01     -0.31821840E-01     -0.18405797E-03     -0.94496584E-03
      10     -0.30407554E-01     -0.31821840E-01     -0.20040140E-03     -0.94496584E-03
      11     -0.30683166E-01     -0.31821840E-01     -0.21860224E-03     -0.94496584E-03
      12     -0.30950350E-01     -0.31821840E-01     -0.23664261E-03     -0.94496584E-03
      13     -0.31120194E-01     -0.31821840E-01     -0.25475445E-03     -0.94496584E-03
      14     -0.31219843E-01     -0.31821840E-01     -0.27459851E-03     -0.94496584E-03
      15     -0.31309116E-01     -0.31821840E-01     -0.29386104E-03     -0.94496584E-03
      16     -0.31386445E-01     -0.31821840E-01     -0.31291867E-03     -0.94496584E-03
      17     -0.31434665E-01     -0.31821840E-01     -0.33335054E-03     -0.94496584E-03
      18     -0.31482182E-01     -0.31821840E-01     -0.35330160E-03     -0.94496584E-03
      19     -0.31507562E-01     -0.31821840E-01     -0.37665876E-03     -0.94496584E-03
      20     -0.31535034E-01     -0.31821840E-01     -0.39571360E-03     -0.94496584E-03
      21     -0.31555233E-01     -0.31821840E-01     -0.41502329E-03     -0.94496584E-03
      22     -0.31570977E-01     -0.31821840E-01     -0.43489727E-03     -0.94496584E-03
      23     -0.31584659E-01     -0.31821840E-01     -0.45367939E-03     -0.94496584E-03
      24     -0.31595416E-01     -0.31821840E-01     -0.47418043E-03     -0.94496584E-03
      25     -0.31603633E-01     -0.31821840E-01     -0.49298230E-03     -0.94496584E-03
 
# q=  0.20000000E+00  0.40000000E+00  0.60000000E+00  (qpt 10)
#ncbands         Re chi(0,0)              extrap   Re chi(Gmax,Gmax)              extrap
       1     -0.88422697E-02     -0.30343268E-01     -0.26571086E-04     -0.79211372E-03
       2     -0.15509911E-01     -0.30343268E-01     -0.49405962E-04     -0.79211372E-03
       3     -0.20156411E-01     -0.30343268E-01     -0.69381990E-04     -0.79211372E-03
       4     -0.23519479E-01     -0.30343268E-01     -0.87112331E-04     -0.79211372E-03
       5     -0.25664300E-01     -0.30343268E-01     -0.10383742E-03     -0.79211372E-03
       6     -0.27175352E-01     -0.30343268E-01     -0.12008624E-03     -0.79211372E-03
       7     -0.28157421E-01     -0.30343268E-01     -0.13295837E-03     -0.79211372E-03
       8     -0.28846415E-01     -0.30343268E-01     -0.14697803E-03     -0.79211372E-03
       9     -0.29319362E-01     -0.30343268E-01     -0.16176422E-03     -0.79211372E-03
      10     -0.29643032E-01     -0.30343268E-01     -0.17545186E-03     -0.79211372E-03
      11     -0.29803423E-01     -0.30343268E-01     -0.19112299E-03     -0.79211372E-03
      12     -0.29936033E-01     -0.30343268E-01     -0.20645255E-03     -0.79211372E-03
      13     -0.30015146E-01     -0.30343268E-01     -0.22197060E-03     -0.79211372E-03
      14     -0.30063750E-01     -0.30343268E-01     -0.23904820E-03     -0.79211372E-03
      15     -0.30099228E-01     -0.30343268E-01     -0.25517125E-03     -0.79211372E-03
      16     -0.30129050E-01     -0.30343268E-01     -0.27235712E-03     -0.79211372E-03
      17     -0.30150045E-01     -0.30343268E-01     -0.28869628E-03     -0.79211372E-03
      18     -0.30168708E-01     -0.30343268E-01     -0.30608667E-03     -0.79211372E-03
      19     -0.30181897E-01     -0.30343268E-01     -0.32610703E-03     -0.79211372E-03
      20     -0.30192834E-01     -0.30343268E-01     -0.34182763E-03     -0.79211372E-03
      21     -0.30203279E-01     -0.30343268E-01     -0.35689879E-03     -0.79211372E-03
      22     -0.30210680E-01     -0.30343268E-01     -0.37194658E-03     -0.79211372E-03
      23     -0.30218056E-01     -0.30343268E-01     -0.38747110E-03     -0.79211372E-03
      24     -0.30223539E-01     -0.30343268E-01     -0.40377625E-03     -0.79211372E-03
      25     -0.30228073E-01     -0.30343268E-01     -0.41984251E-03     -0.79211372E-03
 
